tier,category,specialty,provider_count_requirement,travel_time_requirement
Tier 1,LTSS,Teleservices - Nutritional Consultation,2,30 min urban / 60 min rural
Tier 1,LTSS,Occupational Therapy Services,2,30 min urban / 60 min rural
Tier 1,LTSS,Specialized Medical Equipment and Supplies,2,30 min urban / 60 min rural
Tier 2,LTSS,Speech and Language Therapy Services,"1 within travel time + 1 within CHC zone",30 min urban / 60 min rural
County,LTSS,Assistive Technology,2,county-level
County,LTSS,Home Adaptations,2,county-level
County,LTSS,Home Delivered Meals,2,county-level
County,LTSS,Non-Medical Transportation,2,county-level
County,LTSS,Pest Eradication,2,county-level
County,LTSS,Telecare,2,county-level
County,LTSS,Vehicle Modifications,2,county-level
County,LTSS,Personal Emergency Response Services (PERS),2,county-level
ILOS,LTSS,In Lieu Of Services,1,per CHC zone
FTE,LTSS,Licensed Practical Nurse,FTE-based,Department FTE calculation
FTE,LTSS,Personal Assistance Services,FTE-based,Department FTE calculation
FTE,LTSS,Registered Nurse,FTE-based,Department FTE calculation
FTE,LTSS,Respite,FTE-based,Department FTE calculation
Facility,Inpatient,Private Psychiatric Hospital,N/A,N/A
Facility,Inpatient,Extended Acute Psych Inpatient Unit,N/A,N/A
Facility,Inpatient,Private Psychiatric Unit,N/A,N/A
Facility,Inpatient,Public Psychiatric Hospital,N/A,N/A
Facility,LTC,State LTC Unit (State Mental Hospitals),N/A,N/A
Facility,LTC,Veteran's Home,N/A,N/A
Facility,Program,LIFE (Living Independence for the Elderly),N/A,N/A
Additional,Covered Service,Podiatrist Services,N/A,no specific network adequacy requirement
Additional,Covered Service,Ambulance Transportation,N/A,no specific network adequacy requirement
Additional,Covered Service,Optometrist Services,N/A,no specific network adequacy requirement
Additional,Covered Service,Chiropractor Services,N/A,no specific network adequacy requirement
Additional,Covered Service,Home Health Services,N/A,no specific network adequacy requirement
Additional,Covered Service,Non-Emergency Medical Transport,N/A,no specific network adequacy requirement
Additional,Covered Service,Emergency Room,N/A,no specific network adequacy requirement
Additional,Covered Service,Hospice Care,N/A,no specific network adequacy requirement
Additional,Covered Service,Medical Supplies,N/A,no specific network adequacy requirement
Additional,Covered Service,Durable Medical Equipment,N/A,no specific network adequacy requirement
Additional,Covered Service,Eyeglasses,N/A,no specific network adequacy requirement
Additional,Covered Service,Tobacco Cessation,N/A,no specific network adequacy requirement
Additional,Covered Service,Therapy (Physical/Occupational/Speech),N/A,no specific network adequacy requirement
Additional,Covered Service,CRNP Services,N/A,no specific network adequacy requirement
BH-MCO,Behavioral Health,Mental Health Services,N/A,separate BH-MCO agreement
BH-MCO,Behavioral Health,Substance Use Disorder Services,N/A,separate BH-MCO agreement
BH-MCO,Behavioral Health,Psychiatrist (MAT),N/A,separate BH-MCO agreement
BH-MCO,Behavioral Health,Addiction Counselor,N/A,separate BH-MCO agreement
BH-MCO,Behavioral Health,Clinical Social Worker,N/A,separate BH-MCO agreement
BH-MCO,Behavioral Health,Marriage and Family Therapist,N/A,separate BH-MCO agreement
