tier,category,specialty,designation_type,specialty_code,provider_count_requirement,travel_time_requirement,enrollees_per_provider,source
Facility,Metro,Hospital,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Facility,Micro,Hospital,MCO,,,80 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Facility,Rural,Hospital,MCO,,,85 minutes / 70 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Nephrology,MCO,,,30 minutes / 15 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Nephrology,MCO,,,53 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Nephrology,MCO,,,80 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Nephrology,MCO,,,90 minutes / 75 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Neurology,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Neurology,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Neurology,MCO,,,60 minutes / 45 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Neurology,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Oncology,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Oncology,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Oncology,MCO,,,60 minutes / 45 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Oncology,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Oral Surgery,MCO,,,30 minutes / 15 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Oral Surgery,MCO,,,98 minutes / 65 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Oral Surgery,MCO,,,110 minutes / 80 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Oral Surgery,MCO,,,110 minutes / 80 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Orthopedics,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Orthopedics,MCO,,,38 minutes / 25 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Orthopedics,MCO,,,50 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Orthopedics,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Primary Care,Large Metro,Pediatrics,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Primary Care,Metro,Pediatrics,MCO,,,30 minutes / 20 miles,,MCO Agreement 2026 Appendix F Table F.2
Primary Care,Micro,Pediatrics,MCO,,,50 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Primary Care,Rural,Pediatrics,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Pediatric Dentistry,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Pediatric Dentistry,MCO,,,30 minutes / 20 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Pediatric Dentistry,MCO,,,50 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Pediatric Dentistry,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Large Metro,Pediatric Behavioral Health,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,Pediatric Behavioral Health,MCO,,,30 minutes / 20 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,Pediatric Behavioral Health,MCO,,,50 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,Pediatric Behavioral Health,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Podiatry,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Podiatry,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Podiatry,MCO,,,60 minutes / 45 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Podiatry,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Large Metro,Psychiatry,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,Psychiatry,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,Psychiatry,MCO,,,60 minutes / 45 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,Psychiatry,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Radiology,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Radiology,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Radiology,MCO,,,80 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Radiology,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Large Metro,SUD – Outpatient,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,SUD – Outpatient,MCO,,,30 minutes / 20 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,SUD – Outpatient,MCO,,,50 minutes / 35 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,SUD – Outpatient,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Large Metro,SUD – Residential,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,SUD – Residential,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,SUD – Residential,MCO,,,80 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,SUD – Residential,MCO,,,85 minutes / 70 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Surgical Services – Outpatient,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Surgical Services – Outpatient,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Surgical Services – Outpatient,MCO,,,80 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Surgical Services – Outpatient,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Large Metro,Urology,MCO,,,20 minutes / 10 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Metro,Urology,MCO,,,45 minutes / 30 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Micro,Urology,MCO,,,60 minutes / 45 miles,,MCO Agreement 2026 Appendix F Table F.2
Specialist,Rural,Urology,MCO,,,75 minutes / 60 miles,,MCO Agreement 2026 Appendix F Table F.2
Primary Care,Statewide,Primary Care,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Allergy and Immunology,MCOP,,County-based minimum (Table F.6),Same as MCO Allergy (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Cardiology,MCOP,,County-based minimum (Table F.6),Same as MCO Cardiology (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Chiropractor,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Dermatology,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Endocrinology,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,ENT/Otolaryngology,MCOP,,County-based minimum (Table F.6),Same as MCO ENT/Otolaryngology (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Gastroenterology,MCOP,,County-based minimum (Table F.6),Same as MCO Gastroenterology (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,General Surgery,MCOP,,County-based minimum (Table F.6),Same as MCO General Surgery (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
OB/GYN,Statewide,Gynecology/OBGYN,MCOP,,County-based minimum (Table F.6),"Same as MCO Gynecology, OB/GYN (Table F.2)",,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Infectious Diseases,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Nephrology,MCOP,,County-based minimum (Table F.6),Same as MCO Nephrology (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Neurology,MCOP,,County-based minimum (Table F.6),Same as MCO Neurology (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Neurosurgery,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,"Oncology — Medical, Surgical",MCOP,,County-based minimum (Table F.6),Same as MCO Oncology (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Oncology — Radiation/Radiation Oncology,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Ophthalmology,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Orthopedic Surgery,MCOP,,County-based minimum (Table F.6),Same as MCO Orthopedics (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,"Physiatry, Rehabilitative Medicine",MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Plastic Surgery,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Podiatry,MCOP,,County-based minimum (Table F.6),Same as MCO Podiatry (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Behavioral Health,Statewide,Psychiatry,MCOP,,County-based minimum (Table F.6),Same as MCO Psychiatry (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Pulmonology,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Rheumatology,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Urology,MCOP,,County-based minimum (Table F.6),Same as MCO Urology (Table F.2),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Vascular Surgery,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Specialist,Statewide,Cardiothoracic Surgery,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Behavioral Health,Statewide,Clinical Psychology,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Behavioral Health,Statewide,Clinical Social Work,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Acute Inpatient Hospital Beds,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Cardiac Surgery Program,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Cardiac Catheterization Services,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Critical Care Services/ICU,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Surgical Services (Outpatient/ASC),MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Skilled Nursing Facilities,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Diagnostic Radiology,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Mammography,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Physical Therapy,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Occupational Therapy,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Speech Therapy,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Inpatient Psychiatric Facility Services,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Facility,Statewide,Outpatient Infusion/Chemotherapy,MCOP,,County-based minimum (Table F.6),County-based standard applies (no T&D in agreement),,MCOP Agreement 2026 Appendix F Table F.2 (CMS Provider Panel)
Behavioral Health,Large Metro,"Substance Use Treatment (provider types 54, 95)",OhioRISE,,,10 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,"Substance Use Treatment (provider types 54, 95)",OhioRISE,,,30 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,"Substance Use Treatment (provider types 54, 95)",OhioRISE,,,45 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,"Substance Use Treatment (provider types 54, 95)",OhioRISE,,,60 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Large Metro,"Counseling (provider types 37, 42, 47, 52)",OhioRISE,,,10 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,"Counseling (provider types 37, 42, 47, 52)",OhioRISE,,,30 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,"Counseling (provider types 37, 42, 47, 52)",OhioRISE,,,45 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,"Counseling (provider types 37, 42, 47, 52)",OhioRISE,,,60 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Large Metro,Ohio Dept of Mental Health Provider (provider type 84),OhioRISE,,,10 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,Ohio Dept of Mental Health Provider (provider type 84),OhioRISE,,,30 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,Ohio Dept of Mental Health Provider (provider type 84),OhioRISE,,,45 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,Ohio Dept of Mental Health Provider (provider type 84),OhioRISE,,,60 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Primary Care,Large Metro,"Clinic (provider types 5, 12)",OhioRISE,,,10 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Primary Care,Metro,"Clinic (provider types 5, 12)",OhioRISE,,,30 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Primary Care,Micro,"Clinic (provider types 5, 12)",OhioRISE,,,45 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Primary Care,Rural,"Clinic (provider types 5, 12)",OhioRISE,,,60 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
HCBS,Large Metro,Out-of-Home Respite (specialty code ORR),OhioRISE,,,10 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
HCBS,Metro,Out-of-Home Respite (specialty code ORR),OhioRISE,,,30 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
HCBS,Micro,Out-of-Home Respite (specialty code ORR),OhioRISE,,,45 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
HCBS,Rural,Out-of-Home Respite (specialty code ORR),OhioRISE,,,60 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Large Metro,Intensive Home-Based Treatment (specialty code 847),OhioRISE,,,10 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,Intensive Home-Based Treatment (specialty code 847),OhioRISE,,,30 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,Intensive Home-Based Treatment (specialty code 847),OhioRISE,,,45 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,Intensive Home-Based Treatment (specialty code 847),OhioRISE,,,60 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Large Metro,Behavioral Health Respite (specialty code BHR),OhioRISE,,,10 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Metro,Behavioral Health Respite (specialty code BHR),OhioRISE,,,30 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Micro,Behavioral Health Respite (specialty code BHR),OhioRISE,,,45 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
Behavioral Health,Rural,Behavioral Health Respite (specialty code BHR),OhioRISE,,,60 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
HCBS,Large Metro,Transitional Services and Supports (specialty code TSS),OhioRISE,,,10 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
HCBS,Metro,Transitional Services and Supports (specialty code TSS),OhioRISE,,,30 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
HCBS,Micro,Transitional Services and Supports (specialty code TSS),OhioRISE,,,45 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
HCBS,Rural,Transitional Services and Supports (specialty code TSS),OhioRISE,,,60 miles (distance only),,OhioRISE Agreement 2026 Appendix F Table F.2
