tier,category,specialty,designation_type,specialty_code,provider_count_requirement,travel_time_requirement,enrollees_per_provider,source
Specialist,Specialist,Neurosurgery,,020,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 100 min / 75 mi; Rural: 110 min / 90 mi; CEAC: 145 min / 130 mi,,DIFS (all HMOs)
Specialist,Specialist,"Oncology-Medical, Surgical",,021,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Specialist,Specialist,Oncology-Radiation,,022,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 100 min / 75 mi; Rural: 110 min / 90 mi; CEAC: 145 min / 130 mi,,DIFS (all HMOs)
Specialist,Specialist,Ophthalmology,,023,,Large Metro: 20 min / 10 mi; Metro: 30 min / 20 mi; Micro: 50 min / 35 mi; Rural: 75 min / 60 mi; CEAC: 95 min / 85 mi,,DIFS (all HMOs)
Specialist,Specialist,Orthopedic Surgery,,025,,Large Metro: 20 min / 10 mi; Metro: 30 min / 20 mi; Micro: 50 min / 35 mi; Rural: 75 min / 60 mi; CEAC: 95 min / 85 mi,,DIFS (all HMOs)
Specialist,Specialist,Physical Medicine and Rehabilitation,,026,,Large Metro: 30 min / 15 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 90 min / 75 mi; CEAC: 125 min / 110 mi,,DIFS (all HMOs)
Specialist,Specialist,Plastic Surgery,,027,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 100 min / 75 mi; Rural: 110 min / 90 mi; CEAC: 145 min / 130 mi,,DIFS (all HMOs)
Specialist,Specialist,Podiatry,,028,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Behavioral Health,Behavioral Health,Psychiatry,,029,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Specialist,Specialist,Pulmonology,,030,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Specialist,Specialist,Rheumatology,,031,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 100 min / 75 mi; Rural: 110 min / 90 mi; CEAC: 145 min / 130 mi,,DIFS (all HMOs)
Specialist,Specialist,Urology,,033,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 60 min / 45 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Specialist,Specialist,Vascular Surgery,,034,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 100 min / 75 mi; Rural: 110 min / 90 mi; CEAC: 145 min / 130 mi,,DIFS (all HMOs)
Facility,Facility,Acute Inpatient Hospitals,,040,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Facility,Facility,Cardiac Catheterization Services,,042,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 160 min / 120 mi; Rural: 145 min / 120 mi; CEAC: 155 min / 140 mi,,DIFS (all HMOs)
Facility,Facility,Cardiac Surgery Program,,041,,Large Metro: 30 min / 15 mi; Metro: 60 min / 40 mi; Micro: 160 min / 120 mi; Rural: 145 min / 120 mi; CEAC: 155 min / 140 mi,,DIFS (all HMOs)
Facility,Facility,Critical Care Services - ICU,,043,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 160 min / 120 mi; Rural: 145 min / 120 mi; CEAC: 155 min / 140 mi,,DIFS (all HMOs)
Facility,Facility,Diagnostic Radiology,,047,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Facility,Facility,Inpatient/Residential Behavioral Health Facility,,052,,Large Metro: 30 min / 15 mi; Metro: 70 min / 45 mi; Micro: 100 min / 75 mi; Rural: 90 min / 75 mi; CEAC: 155 min / 140 mi,,DIFS (all HMOs)
Facility,Facility,Mammography,,048,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Facility,Facility,Outpatient Infusion/Chemotherapy,,057,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Facility,Facility,Skilled Nursing Facilities,,046,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 95 min / 85 mi,,DIFS (all HMOs)
Facility,Facility,Surgical Services (ASC/Outpatient),,045,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Facility,Facility,Urgent Care,,080,,Large Metro: 20 min / 10 mi; Metro: 45 min / 30 mi; Micro: 80 min / 60 mi; Rural: 75 min / 60 mi; CEAC: 110 min / 100 mi,,DIFS (all HMOs)
Facility,Facility,Substance Abuse Rehabilitation Facility,,,,,072,DIFS (all HMOs)
Facility,Facility,Mental Health Residential Treatment Facility,,,,,076,DIFS (all HMOs)
Facility,Facility,Children's Substance Abuse Rehabilitation Facility,,,,,P072,DIFS (all HMOs)
Facility,Facility,Children's Residential Treatment Facility,,,,,P076,DIFS (all HMOs)
Behavioral Health,PIHP Adult,Assertive Community Treatment (ACT),,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi","1:30,000 (Team to Medicaid Enrollee)",PIHP BH
Behavioral Health,PIHP Adult,Crisis Residential Programs,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi","16 beds per 500,000 Total Population",PIHP BH
Behavioral Health,PIHP Adult,Opioid Treatment Programs,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi","1:35,000 (Provider to Medicaid Enrollee)",PIHP BH
Behavioral Health,PIHP Adult,Psychosocial Rehabilitation Programs (Clubhouses),,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi","1:45,000 (Provider to Medicaid Enrollee)",PIHP BH
Behavioral Health,PIHP Adult,Inpatient Psychiatric,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",,PIHP BH
Behavioral Health,PIHP Adult,Community Living Supports,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Adult,Skill Building,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Adult,Partial Hospitalization Programs,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",,PIHP BH
Behavioral Health,PIHP Adult,Targeted Case Management,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Adult,Pre-Admission Screen,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Adult,Outpatient Clinical Mental Health,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Youth,Crisis Residential Programs (Youth),,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi","8-12 beds per 500,000 Total Population",PIHP BH
Behavioral Health,PIHP Youth,Home-Based Services,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi","1:2,000 (Provider to Medicaid Enrollee)",PIHP BH
Behavioral Health,PIHP Youth,Intensive Care Coordination with Wraparound,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi","1:5,000 (Provider to Medicaid Enrollee)",PIHP BH
Behavioral Health,PIHP Youth,Intensive Crisis Stabilization Services (Mobile Response),,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Youth,Respite Services,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Youth,Parent Support Partners,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Youth,Youth Peer Supports,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Youth,Autism Diagnostic Evaluations,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
Behavioral Health,PIHP Youth,Autism Services,,,,"Inpatient/Partial: Large Metro 30 min/15 mi, Metro 70 min/45 mi, Micro 100 min/75 mi, Rural 90 min/75 mi, CEAC 155 min/140 mi; All Other: Large Metro 20 min/10 mi, Metro 45 min/30 mi, Micro 70 min/53 mi, Rural 75 min/60 mi, CEAC 118 min/105 mi",FY25 informational only,PIHP BH
