state,program,specialty,geographic_type,max_time_minutes,max_distance_miles,source,notes
OH,OhioRISE,Ohio Department of Mental Health Provider (provider type 84),Rural,,60,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Clinic (provider types 5 and 12),Large Metro,,10,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Clinic (provider types 5 and 12),Metro,,30,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Clinic (provider types 5 and 12),Micro,,45,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Clinic (provider types 5 and 12),Rural,,60,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Out-of-Home Respite (provider specialty code ORR),Large Metro,,10,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Out-of-Home Respite (provider specialty code ORR),Metro,,30,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Out-of-Home Respite (provider specialty code ORR),Micro,,45,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Out-of-Home Respite (provider specialty code ORR),Rural,,60,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Intensive Home-Based Treatment (provider specialty code 847),Large Metro,,10,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Intensive Home-Based Treatment (provider specialty code 847),Metro,,30,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Intensive Home-Based Treatment (provider specialty code 847),Micro,,45,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Intensive Home-Based Treatment (provider specialty code 847),Rural,,60,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Behavioral Health Respite (provider specialty code BHR),Large Metro,,10,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Behavioral Health Respite (provider specialty code BHR),Metro,,30,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Behavioral Health Respite (provider specialty code BHR),Micro,,45,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Behavioral Health Respite (provider specialty code BHR),Rural,,60,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Transitional Services and Supports (provider specialty code TSS),Large Metro,,10,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Transitional Services and Supports (provider specialty code TSS),Metro,,30,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Transitional Services and Supports (provider specialty code TSS),Micro,,45,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
OH,OhioRISE,Transitional Services and Supports (provider specialty code TSS),Rural,,60,https://dam.assets.ohio.gov/OhioRISE/2026_01_OhioRISE_Provider_Agreement_Final_Rates_Combined.pdf,Table F.2 - 2026 OhioRISE agreement uses distance-only standards
